         94600695 function calls (88079242 primitive calls) in 38.913 seconds

   Ordered by: cumulative time
   List reduced from 1047 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/3    0.000    0.000   38.913   12.971 S:\caliburn\.worktrees\analysis-only-agent\.superpowers\sdd\2026-09-10-jd-editor-core-implementation\task4-profile.py:22(timed)
        1    0.000    0.000   38.909   38.909 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\src\analysis_agent\jd_routes.py:36(read_document)
        2    0.000    0.000   38.856   19.428 S:\caliburn\.worktrees\analysis-only-agent\.superpowers\sdd\2026-09-10-jd-editor-core-implementation\task4-profile.py:25(observe)
        4    0.000    0.000   38.846    9.711 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\validators.py:448(validate)
1437584/4    1.225    0.000   38.846    9.711 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\validators.py:349(iter_errors)
 212822/4    0.146    0.000   38.846    9.711 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_keywords.py:274(ref)
2587890/4    4.511    0.000   38.845    9.711 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\validators.py:396(descend)
947597/52    0.775    0.000   38.845    0.747 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_keywords.py:290(properties)
 57988/12    0.122    0.000   38.842    3.237 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_keywords.py:59(items)
45064/1184    0.245    0.000   38.512    0.033 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_keywords.py:332(allOf)
491708/17202    0.550    0.000   38.364    0.002 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_keywords.py:382(if_)
37804/1171    0.120    0.000   37.781    0.032 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_keywords.py:351(oneOf)
805685/503399    1.468    0.000   25.417    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\validators.py:485(is_valid)
1126340/709982    0.286    0.000   24.245    0.000 {built-in method builtins.next}
     7776    0.016    0.000   11.208    0.001 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_keywords.py:439(prefixItems)
